"V1" "V2" "V3"
-2.43508142076041 -52.7131823991474 -6.10293100382152
-14.5725125755583 -46.2062841142927 -3.41992063607488
-15.8413573471276 -29.4181718826294 -3.50283574735796
-11.1519447119839 -50.3593980720244 -3.49857784753822
-18.9162158721533 -58.0735781742976 -3.75600155500265
-9.8454225063324 -56.9516714702953 -6.31244001063434
-17.2656601799859 -57.3443586561415 -6.69048998090956
-12.546678352356 -33.6584104326036 -3.777146908972
-14.6805681129555 -63.6181974534865 -4.81132105418614
-6.98106931477058 -57.8466883868706 -6.57690986772863
-21.4173926994449 -29.9505109630647 -5.37625363615693
-13.6494281641642 -57.7705952453613 -5.81359796524048
-6.56454658508301 -57.0670341398658 -3.83980065148051
-12.5212242226852 -16.3855000880727 -5.1356315361826
-11.1041640472412 -59.9801168823242 -5.45365803400675
-15.7022638031931 -19.7425709926721 -5.05229021563675
-11.3202681851077 -27.0854197663146 -4.17381928183816
-2.17165548168123 -49.6018362045288 -4.0872808881104
-7.193407952031 -23.6584776866285 -7.23128837875173
-10.3682767895685 -61.4391234577566 -5.42079802526944
-7.23311743017745 -61.2039582239438 -6.12459742533018
-15.6071536064148 -34.2142742156982 -3.21706538200378
-1.48869848838994 -50.8534817762778 -4.43513590181378
-6.03330107392936 -34.1515084628401 -3.97397254664322
-3.80690815232017 -39.1674891385165 -7.3935665774655
-8.50668600509907 -34.5078956340921 -4.01271829111823
-20.3989894787471 -51.5296007792155 -3.9456255286932
-15.3922702026367 -34.6800850423177 -7.29416143417358
-6.21442949130971 -31.2953456550516 -7.64620937326903
-3.55053658954433 -49.6714099196137 -3.75561832990803
-19.6757466851211 -55.384248966124 -3.78383812962509
-15.0990047755994 -22.2935150949579 -4.19628364161441
-16.4243522140215 -61.8239188284244 -3.88867242381258
-17.8658853258405 -31.1618167332241 -3.64148546503736
-12.5953233718872 -51.1910853794643 -6.74487498147147
-12.7840129959751 -57.856203213544 -3.65234558347245
-17.7827927725656 -21.8271157400949 -5.01117310448298
-21.5128291716059 -34.2610028278397 -6.09013602245285
-7.89530682844274 -27.0919953963336 -7.63415465635412
-15.6524194656534 -17.4210336157616 -6.06207664469455
-14.5245037078857 -17.5523344341077 -6.64240435550087
-17.3001488172091 -58.1493670634734 -3.34639386641674
-14.499410984364 -22.3395598999997 -7.08954596012197
-15.3039406271542 -24.0528864467845 -7.15641857596005
-0.735837605866519 -37.3740542325107 -4.89212899641557
-19.5632122357686 -49.9372788535224 -6.62193667226368
-4.91966485422711 -25.7658035145249 -4.43770975844805
-19.5050737247911 -50.6014334212902 -3.54979950328206
-17.0034817554912 -56.1632348357654 -6.66173014875318
-8.89177688430337 -21.2535290437586 -7.18762824114631
-5.40600623523488 -41.273227557014 -3.58468039176043
-13.8436691911915 -59.0042545463465 -5.82514983189257
-4.73601496356657 -29.5343909208802 -7.39132840605988
-12.938427709764 -41.0075445482808 -3.4891085701604
-12.2361527640244 -19.0379313107195 -6.95574170967628
-9.00329465132493 -61.8384702242338 -5.63217296600342
-4.31160544407995 -62.1452644247758 -3.79461786935204
-10.7969308495522 -39.6157525062561 -7.04848117232323
-5.04639880359173 -53.1648267507553 -7.14791298409303
-20.9432475526454 -38.4534162101099 -4.04407700441651
-14.0916922832357 -50.6222167179502 -6.82880735397339
-2.21302170753479 -44.8230537414551 -3.91269034743309
-10.6728612422943 -52.7339820861816 -3.53282358646393
-6.64295717916991 -19.7475294815867 -5.01131225259681
-1.94892376745251 -51.4923582479987 -5.93437024237404
-1.05183344511759 -29.6717805953253 -5.80811954225813
-6.1790722640785 -52.3142972894617 -3.48052009054132
-0.33436600886064 -45.8491592407227 -5.40368797283361
-16.7381440676176 -37.6508152301495 -7.21978352620051
-3.68561139742533 -28.5717579650879 -7.03251089731852
-3.34128244106586 -24.5812099896945 -6.27315576259906
-10.0127664964591 -15.5266533182628 -5.1896757510171
-19.6496598287062 -23.8858383785595 -5.70514842055061
-12.7126876245631 -25.919961891552 -4.15262602343418
-1.66604764014482 -28.6561052799225 -5.28640439680644
